Name,Table Size,Base,Number of Words,Collision Count,Probe_total,Probe_max,Rehash Count,Time Taken
english_large.txt,25027,1,5278,10811737,5152,10811737,0,10
english_small.txt,25027,1,5269,10680869,5074,10680869,0,10
french.txt,25027,1,5394,10605793,5137,10605793,0,10
english_large.txt,40221,1,5250,10692427,5152,10692427,0,10
english_small.txt,40221,1,5285,10754983,5083,10754983,0,10
french.txt,40221,1,5424,10742381,5150,10742381,0,10
english_large.txt,1000081,1,5252,10701995,5152,10701995,0,10
english_small.txt,1000081,1,5270,10685511,5074,10685511,0,10
french.txt,1000081,1,5307,10410633,4985,10410633,0,10
english_large.txt,25027,27183,30231,6406837,28023,6406837,2,10
english_small.txt,25027,27183,30268,6595156,24299,6595156,2,10
french.txt,25027,27183,35639,7104450,29420,7104450,3,10
english_large.txt,40221,27183,41587,8938730,39351,8938730,1,10
english_small.txt,40221,27183,42913,9320100,39475,9320100,1,10
french.txt,40221,27183,43453,9248283,39214,9248283,1,10
english_large.txt,1000081,27183,194433,24442,20,24442,0,1.484983194997767
english_small.txt,1000081,27183,84097,3936,15,3936,0,0.5936956590012414
french.txt,1000081,27183,202358,30603,22,30603,0,1.6711627559998306
english_large.txt,25027,25026,4719,10592015,4660,10592015,0,10
english_small.txt,25027,25026,4699,10519603,4641,10519603,0,10
french.txt,25027,25026,5172,10410378,4878,10410378,0,10
english_large.txt,40221,25026,50868,8470823,41319,8470823,2,10
english_small.txt,40221,25026,50656,8530852,42611,8530852,2,10
french.txt,40221,25026,43616,8806765,38624,8806765,1,10
english_large.txt,1000081,25026,194433,25447,17,25447,0,1.4273608600051375
english_small.txt,1000081,25026,84097,4036,5,4036,0,0.5817047249875031
french.txt,1000081,25026,202358,30343,25,30343,0,1.6135051110031782
